board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_45,compressed_bet_45,full_call_facing_45,compressed_call_facing_45
Kh 4h 6h Qc Ac,3d 4s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010594802999927223,1.0063841201119363e-06,3,14,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.0009125883486175955
Kh 4h 6h Qc Ac,3d 5c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010957024117202532,1.0024747700723712e-06,5,1,1.0,0.7095180472568701,0.0,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 5d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001091035705181854,1.0036353468815194e-06,15,1,1.0,0.5308743635589362,0.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 5h,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010951885188234907,1.0059565004998159e-06,15,1,0.0,0.5308743635589362,1.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 5s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001091035705181854,1.0036353468815194e-06,15,1,1.0,0.5308743635589362,0.0,0.4691256364410637,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 6c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010393193277773473,9.939875918091584e-07,3,10,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.99999
Kh 4h 6h Qc Ac,3d 6d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010393193277773473,9.938547531930981e-07,3,10,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.99999
Kh 4h 6h Qc Ac,3d 6s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010393193277773473,9.938547531930981e-07,3,10,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.99999
Kh 4h 6h Qc Ac,3d 7c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001043128514860801,9.991316562760901e-07,5,1,1.0,0.7095180472568701,0.0,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 7d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010519368379020913,9.991316562760901e-07,5,1,1.0,0.7095180472568701,0.0,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 7h,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010511378540496367,9.97971079466942e-07,5,1,1.0,0.7095180472568701,0.0,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 7s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010519368379020913,9.991316562760901e-07,5,1,1.0,0.7095180472568701,0.0,0.29048195274313,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 8c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001060636781820079,1.0001536164540747e-06,11,1,1.0,0.8550293018917648,0.0,0.1449706981082352,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 8d,0,1,3,0.0010637240212944875,0.006566869800972732,0.0010636767147710218,0.00657285703218985,11,1,1.0,0.8550293018917648,0.0,0.1449706981082352,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 8h,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.001066765600688029,9.989930396449266e-07,11,1,1.0,0.8550293018917648,0.0,0.1449706981082352,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 8s,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010560435668279624,1.0001536164540747e-06,11,1,1.0,0.8550293018917648,0.0,0.1449706981082352,0.0,0.5255925387794849
Kh 4h 6h Qc Ac,3d 9c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010579793831709784,1.0094863060241742e-06,12,9,1.0,0.9999339325891439,0.0,6.606741085611172e-05,1.0,0.9282345585301963
