board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_14,compressed_bet_14,full_call_facing_14,compressed_call_facing_14,full_bet_29,compressed_bet_29,full_call_facing_29,compressed_call_facing_29
9d 2d Kc Tc 4c,3s 8c,0,1,5,0.0007104827551393896,9.99230592443818e-07,0.000729564534248911,9.915532866439897e-07,2,7,0.0,0.9954643098606948,0.0,0.004210212023580433,0.0,3.103722716992478e-05,1.0,0.00032547811572475907,0.0,1e-05
9d 2d Kc Tc 4c,3s 8d,0,1,5,0.0007104827551393896,9.99230592443818e-07,0.0007245070799155518,9.79979420988106e-07,2,7,1.0,0.9954643098606948,0.0,0.004210212023580433,0.0,3.103722716992478e-05,0.0,0.00032547811572475907,0.0,1e-05
9d 2d Kc Tc 4c,3s 8h,0,1,5,0.0007104827551393896,9.99230592443818e-07,0.0007245070799155518,9.786558962015146e-07,2,7,1.0,0.9954643098606948,0.0,0.004210212023580433,0.0,3.103722716992478e-05,0.0,0.00032547811572475907,0.0,1e-05
9d 2d Kc Tc 4c,3s 8s,0,1,5,0.001244444970306037,9.99230592443818e-07,0.001269009254665352,9.792369349049478e-07,2,7,1.0,0.9954643098606948,0.0,0.004210212023580433,0.0,3.103722716992478e-05,0.0,0.00032547811572475907,0.0,1e-05
9d 2d Kc Tc 4c,3s 9c,0,1,5,0.0009090997993604099,9.99230592443818e-07,0.0008919574494715593,1.0024866551626338e-06,3,14,1.0,0.9999585294884566,0.0,2.8646578643993225e-05,0.0,0.009610196806144979,0.0,1.282393289933712e-05,1.0,0.00252881274002614
9d 2d Kc Tc 4c,3s 9h,0,1,5,0.0009090997993604099,9.99230592443818e-07,0.0009048055470271653,1.0055259190337412e-06,3,14,1.0,0.9999585294884566,0.0,2.8646578643993225e-05,0.0,0.009610196806144979,0.0,1.282393289933712e-05,0.0,0.00252881274002614
9d 2d Kc Tc 4c,3s 9s,0,1,5,9.998460237123483e-07,0.0048548748653306,1.0004081877037668e-06,0.0048806603243857554,3,14,1.0,0.9999585294884566,0.0,2.8646578643993225e-05,0.0,0.009610196806144979,0.0,1.282393289933712e-05,0.0,0.00252881274002614
9d 2d Kc Tc 4c,3s Td,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012587237794161163,9.989933158131663e-07,11,5,1.0,0.999915129897472,0.0,5.728078616758273e-05,0.0,0.99999,0.0,2.7589316360402657e-05,0.0,0.9988998402932956
9d 2d Kc Tc 4c,3s Th,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012587237794161165,1.006171312468441e-06,11,5,1.0,0.999915129897472,0.0,5.728078616758273e-05,0.0,0.99999,0.0,2.7589316360402657e-05,0.0,0.9988998402932956
9d 2d Kc Tc 4c,3s Ts,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012587237794161165,1.006171312468441e-06,11,5,1.0,0.999915129897472,0.0,5.728078616758273e-05,0.0,0.99999,0.0,2.7589316360402657e-05,0.0,0.9988998402932956
9d 2d Kc Tc 4c,3s Jc,0,1,5,9.998460237123483e-07,9.99230592443818e-07,1.0006088851532096e-06,9.98036176171002e-07,15,4,0.0,0.9267781203121732,0.0,0.07258207730344662,0.0,3.592531340698405e-05,1.0,0.0006398023843801892,0.0,1.2483206694729829e-05
9d 2d Kc Tc 4c,3s Jd,0,1,5,9.998460237123483e-07,9.99230592443818e-07,1.0002930343816073e-06,1.005214347832977e-06,8,4,1.0,0.9998327155272967,0.0,0.0001460205384420505,0.0,3.592531340698405e-05,0.0,2.1263934261221164e-05,0.0,1.2483206694729829e-05
9d 2d Kc Tc 4c,3s Jh,0,1,5,9.998460237123483e-07,9.99230592443818e-07,1.006788195755477e-06,1.0137480264979278e-06,8,4,1.0,0.9998327155272967,0.0,0.0001460205384420505,0.0,3.592531340698405e-05,0.0,2.1263934261221164e-05,0.0,1.2483206694729829e-05
9d 2d Kc Tc 4c,3s Js,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012530854518173744,1.015101099285256e-06,8,4,1.0,0.9998327155272967,0.0,0.0001460205384420505,0.0,3.592531340698405e-05,0.0,2.1263934261221164e-05,0.0,1.2483206694729829e-05
9d 2d Kc Tc 4c,3s Qc,0,1,5,0.0010331864077076642,9.99230592443818e-07,0.0010388113400990368,1.0072504018152826e-06,3,9,1.0,0.9999585294884566,0.0,2.8646578643993225e-05,0.0,6.51757959137998e-05,0.0,1.282393289933712e-05,0.0,0.3819288804739562
9d 2d Kc Tc 4c,3s Qd,0,1,5,0.00017219773461794408,9.99230592443818e-07,0.0001728719085647878,9.985427438379098e-07,3,9,1.0,0.9999585294884566,0.0,2.8646578643993225e-05,0.0,6.51757959137998e-05,0.0,1.282393289933712e-05,0.0,0.3819288804739562
9d 2d Kc Tc 4c,3s Qh,0,1,5,0.0010331864077076642,9.99230592443818e-07,0.0010420670669273535,9.9429603567e-07,3,9,1.0,0.9999585294884566,0.0,2.8646578643993225e-05,0.0,6.51757959137998e-05,0.0,1.282393289933712e-05,0.0,0.3819288804739562
9d 2d Kc Tc 4c,3s Qs,0,1,5,0.001244444970306037,9.99230592443818e-07,0.001255141483168091,9.94525919728862e-07,3,9,1.0,0.9999585294884566,0.0,2.8646578643993225e-05,0.0,6.51757959137998e-05,0.0,1.282393289933712e-05,0.0,0.3819288804739562
9d 2d Kc Tc 4c,3s Kd,0,1,5,5.652521860832142e-05,0.0021104048969229072,5.48080678475325e-05,0.002136215559820624,4,12,0.0,6.666666666666666e-06,0.8500323606822145,0.9999186222033778,1.0,0.99999,0.14996763931778545,7.47111299554964e-05,0.0,0.99999
9d 2d Kc Tc 4c,3s Kh,0,1,5,5.6525218608321426e-05,0.0021104048969229072,5.519474592841713e-05,0.0021527492338025305,4,12,0.0,6.666666666666666e-06,1.0,0.9999186222033778,1.0,0.99999,0.0,7.47111299554964e-05,0.0,0.99999
9d 2d Kc Tc 4c,3s Ks,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012122949451057801,1.0205723625040982e-06,4,12,0.0,6.666666666666666e-06,1.0,0.9999186222033778,1.0,0.99999,0.0,7.47111299554964e-05,0.0,0.99999
9d 2d Kc Tc 4c,3s Ac,0,1,5,0.00017503169094548323,9.99230592443818e-07,0.0001702020206615206,9.970808600959409e-07,9,0,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.4151606231392745,0.0,1.1313624182516413e-05,0.0,0.0003226866067773865
9d 2d Kc Tc 4c,3s Ad,0,1,5,0.00017503169094548323,9.99230592443818e-07,0.00017192467144053084,9.77925046404091e-07,9,0,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.4151606231392745,0.0,1.1313624182516413e-05,0.0,0.0003226866067773865
9d 2d Kc Tc 4c,3s Ah,0,1,5,0.0010501901456728994,9.99230592443818e-07,0.001020212748196664,9.925427344261396e-07,9,0,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.4151606231392745,0.0,1.1313624182516413e-05,0.0,0.0003226866067773865
9d 2d Kc Tc 4c,3s As,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012089226206954693,9.92754115621727e-07,9,0,1.0,0.999959181166064,0.0,2.950520975346381e-05,0.0,0.4151606231392745,0.0,1.1313624182516413e-05,0.0,0.0003226866067773865
9d 2d Kc Tc 4c,4d 4h,0,1,5,0.001244444970306037,9.99230592443818e-07,0.001210619892232075,1.0177707191757333e-06,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,4d 4s,0,1,5,0.001244444970306037,9.99230592443818e-07,0.001210619892232075,1.0177707191757333e-06,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
